what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1265616636921
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1265616636984
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1265616636984
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1265616637046
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1265616637062
started,bundle,org.tigris.subversion.subclipse.core,1.0.0,"org.tigris.subversion.subclipse.core",1265616637093
started,bundle,org.tigris.subversion.subclipse.ui,1.0.0,"org.tigris.subversion.subclipse.ui",1265616637125
os,sysinfo,,,"win32",1265616637125
arch,sysinfo,,,"x86",1265616637125
ws,sysinfo,,,"win32",1265616637125
locale,sysinfo,,,"zh_CN",1265616637125
processors,sysinfo,,,"2",1265616637125
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1265616637125
java.runtime.version,sysinfo,,,"1.5.0_12-b04",1265616637125
java.specification.name,sysinfo,,,"Java Platform API Specification",1265616637125
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265616637125
java.specification.version,sysinfo,,,"1.5",1265616637125
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1265616637125
java.version,sysinfo,,,"1.5.0_12",1265616637125
java.vm.info,sysinfo,,,"mixed mode",1265616637125
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265616637125
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265616637125
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265616637125
java.vm.specification.version,sysinfo,,,"1.0",1265616637125
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1265616637125
