what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265785956750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265785957859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265788800359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265788800859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265788800875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265788800937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265789529312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265789529406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265789530187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265789531375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791390828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791392468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791399000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791401515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791401515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791401609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791540734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791541828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791541828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265791541921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265795148421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265795153281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265795153406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265795153546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265795156156
