what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1266481664625
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1266481664625
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1266481664625
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1266481664625
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1266481664625
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1266481664625
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1266481664625
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1266481664625
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1266481664625
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1266481664625
started,bundle,org.tigris.subversion.subclipse.core,1.0.0,"org.tigris.subversion.subclipse.core",1266481664625
started,bundle,org.tigris.subversion.subclipse.ui,1.0.0,"org.tigris.subversion.subclipse.ui",1266481664625
os,sysinfo,,,"win32",1266481664625
arch,sysinfo,,,"x86",1266481664625
ws,sysinfo,,,"win32",1266481664625
locale,sysinfo,,,"zh_CN",1266481664625
processors,sysinfo,,,"2",1266481664625
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1266481664625
java.runtime.version,sysinfo,,,"1.5.0_12-b04",1266481664625
java.specification.name,sysinfo,,,"Java Platform API Specification",1266481664625
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266481664625
java.specification.version,sysinfo,,,"1.5",1266481664625
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266481664625
java.version,sysinfo,,,"1.5.0_12",1266481664625
java.vm.info,sysinfo,,,"mixed mode",1266481664625
