what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265795159203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265795159265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265803880625
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265803881875
stopped,bundle,org.eclipse.mylyn.pde.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.pde.ui",1265803882390
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1265803882406
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1265803882406
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1265803882406
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1265803882437
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1265803882453
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1265803882453
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1265803882468
