what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1265768945296
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1265768945406
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1265768945562
started,bundle,org.tigris.subversion.subclipse.ui,1.0.0,"org.tigris.subversion.subclipse.ui",1265768945843
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1265768946656
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1265768947140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265769910000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265769910000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265769910109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265770083500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265770083890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265770083906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265770084000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265771964500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265771965000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265771965000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265771965078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265772289656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265772290046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265772290046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265772290140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265774545593
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1265774546531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265775342078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265775342078
